Jan. 12, 2020   22:44:16
Cyclic Voltammetry
File: c:\users\17608\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High E (V) = 2
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Potential/V, Current/A, Charge/C, Time/s

0.000, -6.047e-4, -1.209e-5, 2.000e-2
0.001, -4.909e-4, -2.191e-5, 4.000e-2
0.002, -3.788e-4, -2.949e-5, 6.000e-2
0.003, -2.868e-4, -3.522e-5, 8.000e-2
0.004, -2.105e-4, -3.943e-5, 1.000e-1
0.005, -1.461e-4, -4.236e-5, 1.200e-1
0.006, -9.042e-5, -4.417e-5, 1.400e-1
0.007, -4.155e-5, -4.500e-5, 1.600e-1
0.008, 2.403e-6, -4.495e-5, 1.800e-1
0.009, 4.205e-5, -4.411e-5, 2.000e-1
0.010, 7.720e-5, -4.256e-5, 2.200e-1
0.011, 1.106e-4, -4.035e-5, 2.400e-1
0.012, 1.411e-4, -3.753e-5, 2.600e-1
0.013, 1.690e-4, -3.415e-5, 2.800e-1
0.014, 1.956e-4, -3.024e-5, 3.000e-1
0.015, 2.202e-4, -2.583e-5, 3.200e-1
0.016, 2.436e-4, -2.096e-5, 3.400e-1
0.017, 2.660e-4, -1.564e-5, 3.600e-1
0.018, 2.869e-4, -9.904e-6, 3.800e-1
0.019, 3.072e-4, -3.759e-6, 4.000e-1
0.020, 3.265e-4, 2.770e-6, 4.200e-1
0.021, 3.448e-4, 9.666e-6, 4.400e-1
0.022, 3.627e-4, 1.692e-5, 4.600e-1
0.023, 3.791e-4, 2.450e-5, 4.800e-1
0.024, 3.957e-4, 3.241e-5, 5.000e-1
0.025, 4.118e-4, 4.065e-5, 5.200e-1
0.026, 4.266e-4, 4.918e-5, 5.400e-1
0.027, 4.420e-4, 5.802e-5, 5.600e-1
0.028, 4.565e-4, 6.715e-5, 5.800e-1
0.029, 4.700e-4, 7.655e-5, 6.000e-1
0.030, 4.840e-4, 8.623e-5, 6.200e-1
0.031, 4.974e-4, 9.618e-5, 6.400e-1
0.032, 5.100e-4, 1.064e-4, 6.600e-1
0.033, 5.228e-4, 1.168e-4, 6.800e-1
0.034, 5.350e-4, 1.275e-4, 7.000e-1
0.035, 5.471e-4, 1.385e-4, 7.200e-1
0.036, 5.588e-4, 1.497e-4, 7.400e-1
0.037, 5.701e-4, 1.611e-4, 7.600e-1
0.038, 5.817e-4, 1.727e-4, 7.800e-1
0.039, 5.921e-4, 1.845e-4, 8.000e-1
0.040, 6.031e-4, 1.966e-4, 8.200e-1
0.041, 6.144e-4, 2.089e-4, 8.400e-1
0.042, 6.242e-4, 2.214e-4, 8.600e-1
0.043, 6.347e-4, 2.341e-4, 8.800e-1
0.044, 6.448e-4, 2.470e-4, 9.000e-1
0.045, 6.545e-4, 2.600e-4, 9.200e-1
0.046, 6.645e-4, 2.733e-4, 9.400e-1
0.047, 6.741e-4, 2.868e-4, 9.600e-1
0.048, 6.835e-4, 3.005e-4, 9.800e-1
0.049, 6.930e-4, 3.143e-4, 1.000e+0
0.050, 7.019e-4, 3.284e-4, 1.020e+0
0.051, 7.113e-4, 3.426e-4, 1.040e+0
0.052, 7.202e-4, 3.570e-4, 1.060e+0
0.053, 7.293e-4, 3.716e-4, 1.080e+0
