May 29, 2020   20:40:20
Cyclic Voltammetry
File: h:\mof-crpyz-edlc(pseduca)\6-3electrode-1m emimcl\1-12.6mg-cm2-0.8\cv-2.csv
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.8
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.002
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:
Segment 2:

Segment 3:
Segment 4:

Potential/V, Current/A, Charge/C, Time/s

0.000, -8.381e-4, -4.190e-4, 5.000e-1
0.001, -6.919e-4, -7.650e-4, 1.000e+0
0.002, -5.910e-4, -1.060e-3, 1.500e+0
0.003, -5.173e-4, -1.319e-3, 2.000e+0
0.004, -4.603e-4, -1.549e-3, 2.500e+0
0.005, -4.150e-4, -1.757e-3, 3.000e+0
0.006, -3.774e-4, -1.945e-3, 3.500e+0
0.007, -3.453e-4, -2.118e-3, 4.000e+0
0.008, -3.180e-4, -2.277e-3, 4.500e+0
0.009, -2.944e-4, -2.424e-3, 5.000e+0
0.010, -2.744e-4, -2.562e-3, 5.500e+0
0.011, -2.566e-4, -2.690e-3, 6.000e+0
0.012, -2.396e-4, -2.810e-3, 6.500e+0
0.013, -2.247e-4, -2.922e-3, 7.000e+0
0.014, -2.104e-4, -3.027e-3, 7.500e+0
0.015, -1.970e-4, -3.126e-3, 8.000e+0
0.016, -1.850e-4, -3.218e-3, 8.500e+0
0.017, -1.736e-4, -3.305e-3, 9.000e+0
0.018, -1.631e-4, -3.387e-3, 9.500e+0
0.019, -1.535e-4, -3.463e-3, 1.000e+1
0.020, -1.444e-4, -3.536e-3, 1.050e+1
0.021, -1.364e-4, -3.604e-3, 1.100e+1
0.022, -1.282e-4, -3.668e-3, 1.150e+1
0.023, -1.197e-4, -3.728e-3, 1.200e+1
0.024, -1.116e-4, -3.783e-3, 1.250e+1
0.025, -1.033e-4, -3.835e-3, 1.300e+1
0.026, -9.554e-5, -3.883e-3, 1.350e+1
0.027, -8.819e-5, -3.927e-3, 1.400e+1
0.028, -8.087e-5, -3.967e-3, 1.450e+1
0.029, -7.450e-5, -4.005e-3, 1.500e+1
0.030, -6.829e-5, -4.039e-3, 1.550e+1
0.031, -6.247e-5, -4.070e-3, 1.600e+1
0.032, -5.726e-5, -4.099e-3, 1.650e+1
0.033, -5.183e-5, -4.125e-3, 1.700e+1
0.034, -4.702e-5, -4.148e-3, 1.750e+1
0.035, -4.264e-5, -4.169e-3, 1.800e+1
0.036, -3.801e-5, -4.188e-3, 1.850e+1
